Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,Huongthom,Zernike moments+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9335766423357664,0.9339639762063999,0.9335766423357664,0.9335506137498529,0.9410071942446043
Random Forest,Huongthom,Zernike moments+LBP+GLCM,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9058394160583941,0.9058968630877551,0.9058394160583941,0.9058290283254373,0.9057553956834532
K-Nearest Neighbors,Huongthom,Zernike moments+LBP+Edge,"{'weights': 'distance', 'n_neighbors': 49, 'metric': 'manhattan'}",0.8605839416058394,0.872379082768228,0.8605839416058394,0.8593196066369917,0.8633093525179856
Support Vector Machine,Huongthom,Zernike moments+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9043795620437957,0.9047302469379056,0.9043795620437957,0.904342092321217,0.9068345323741006
Random Forest,Huongthom,Zernike moments+LBP+Edge,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.872992700729927,0.8741944288877895,0.872992700729927,0.8728463089963672,0.880935251798561
K-Nearest Neighbors,Huongthom,Zernike moments+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8941605839416058,0.9020940930367651,0.8941605839416058,0.8935494148826919,0.8928057553956833
Support Vector Machine,Huongthom,Zernike moments+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9277372262773723,0.9278357374146974,0.9277372262773723,0.9277266349393362,0.9402877697841727
Random Forest,Huongthom,Zernike moments+GLCM+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9058394160583941,0.905967434504883,0.9058394160583941,0.9058218001987719,0.9086330935251798
K-Nearest Neighbors,Huongthom,LBP+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8496350364963504,0.8576721446444819,0.8496350364963504,0.8486445359036875,0.8341726618705037
Support Vector Machine,Huongthom,LBP+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8897810218978102,0.8898335380921713,0.8897810218978102,0.8897688626134964,0.8967625899280576
Random Forest,Huongthom,LBP+GLCM+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8583941605839416,0.8585560758789192,0.8583941605839416,0.8583579288126624,0.8575539568345324
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9394160583941605,0.9398915766353221,0.9394160583941605,0.9393885691474851,0.9532374100719425
Support Vector Machine,Huongthom,Basic+Enhanced Color+Zernike moments+LBP,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.5994842503189409}",0.9700729927007299,0.9705061377920179,0.9700729927007299,0.970061265535648,0.980935251798561
Random Forest,Huongthom,Basic+Enhanced Color+Zernike moments+LBP,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9591240875912409,0.9595278181964856,0.9591240875912409,0.9591214741309746,0.9647482014388489
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9510948905109489,0.951998924195562,0.9510948905109489,0.9510585026836339,0.9521582733812949
Support Vector Machine,Huongthom,Basic+Enhanced Color+Zernike moments+GLCM,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.5994842503189409}",0.9817518248175182,0.9818325812486975,0.9817518248175182,0.9817498116909761,0.9859712230215827
