Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM+GIST,0.7874794069192751,0.7875109585614254,0.7874794069192751,0.7874759460945701,0.7657349230693118
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM+GIST,0.8393739703459637,0.839416059308162,0.8393739703459637,0.8393671037266593,0.8445060109830307
Random Forest,BC-15,Enhanced Color+LBP+GLCM+GIST,0.8327841845140033,0.8336404733104594,0.8327841845140033,0.8326680298551049,0.8343467075644387
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM+GIST,0.7965403624382208,0.8043622603569105,0.7965403624382208,0.7952603804068099,0.785233925361566
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM+GIST,0.8607907742998353,0.862801250689796,0.8607907742998353,0.860607771887568,0.8513992644997443
Random Forest,BC-15,Zernike moments+LBP+GLCM+GIST,0.8616144975288303,0.8694080039383867,0.8616144975288303,0.8609002984817069,0.8481488810831312
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.8953871499176277,0.9057713438531316,0.8953871499176277,0.894729021504716,0.8944334504196968
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9398682042833608,0.9411773172281065,0.9398682042833608,0.9398264380114986,0.9390961262553802
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9093904448105437,0.9108441405397478,0.9093904448105437,0.9093151337395747,0.9159493065518889
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GIST,0.8410214168039539,0.8566792372034083,0.8410214168039539,0.8392906287082934,0.842068635696499
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GIST,0.9184514003294892,0.9194150018065609,0.9184514003294892,0.9184080536564989,0.9045869819752965
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GIST,0.8970345963756178,0.898690991443338,0.8970345963756178,0.8969336887737944,0.9021471330331965
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+GIST,0.8484349258649094,0.8598649370786206,0.8484349258649094,0.8472485697710065,0.851405860914593
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+GIST,0.9217462932454695,0.9228555985427723,0.9217462932454695,0.9216985320563141,0.9139266808489586
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+GIST,0.9003294892915981,0.9023598288409678,0.9003294892915981,0.9002101242213562,0.9017389798644435
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GLCM+GIST,0.8080724876441515,0.8128863506764571,0.8080724876441515,0.8073569093368772,0.8002506637642443
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GLCM+GIST,0.8739703459637562,0.8740224797226912,0.8739703459637562,0.8739673529357409,0.8725160375336005
Random Forest,BC-15,Basic+Enhanced Color+LBP+GLCM+GIST,0.9003294892915981,0.9012530679441888,0.9003294892915981,0.9002765100246096,0.8924083510611982
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GLCM+GIST,0.8212520593080724,0.8341440173274053,0.8212520593080724,0.8195475899929787,0.80592770329326
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GLCM+GIST,0.8871499176276771,0.8883075152680522,0.8871499176276771,0.8870715343503467,0.8818483154405581
Random Forest,BC-15,Basic+Zernike moments+LBP+GLCM+GIST,0.8747940691927513,0.8807868541088503,0.8747940691927513,0.8743145019629512,0.8676388133049688
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GLCM+GIST,0.8410214168039539,0.8515809956781046,0.8410214168039539,0.8398463425466886,0.8436872309899568
